Date,Product,Pettah_Wholesale,Dambulla_Wholesale,Pettah_Retail,Dambulla_Retail,Narahenpita_Retail
2016-08-01,Beans,148.0016,197.00165,,,
2016-08-01,Brinjal,80.008,72.007,,,
2016-08-01,Cabbage,100.001,147.0012,,,
2016-08-01,Carrot,132.0012,160.00155,,,
2016-08-01,Pumpkin,122.009,95.007,,,
2016-08-01,Snake gourd,89.009,67.0055,,,
2016-08-01,Tomato,116.001,105.009,,,
2016-08-02,Beans,148.0016,186.0019,,,
2016-08-02,Brinjal,80.008,68.0075,,,
2016-08-02,Cabbage,100.001,138.00115,,,
2016-08-02,Carrot,128.0012,158.00155,,,
2016-08-02,Pumpkin,112.009,88.0075,,,
2016-08-02,Snake gourd,89.009,65.0055,,,
2016-08-02,Tomato,108.001,98.0075,,,
2016-08-03,Beans,148.0014,182.0019,,,
2016-08-03,Brinjal,80.008,70.007,,,
2016-08-03,Cabbage,100.009,128.009,,,
2016-08-03,Carrot,124.0012,154.0015,,,
2016-08-03,Pumpkin,102.009,85.0075,,,
2016-08-03,Snake gourd,89.007,63.0055,,,
2016-08-03,Tomato,104.007,89.0065,,,
2016-08-04,Beans,144.00125,178.0019,,,
2016-08-04,Brinjal,80.008,69.007,,,
2016-08-04,Cabbage,98.008,117.0011,,,
2016-08-04,Carrot,120.0012,154.00145,,,
2016-08-04,Pumpkin,94.009,80.0085,,,
2016-08-04,Snake gourd,86.007,61.0055,,,
2016-08-04,Tomato,94.005,82.006,,,
2016-08-05,Beans,141.00125,183.0019,,,
2016-08-05,Brinjal,80.008,70.0085,,,
2016-08-05,Cabbage,94.008,115.00105,,,
2016-08-05,Carrot,120.0012,152.00145,,,
2016-08-05,Pumpkin,90.009,79.0075,,,
2016-08-05,Snake gourd,82.007,58.0055,,,
2016-08-05,Tomato,84.005,76.0065,,,
2016-08-08,Beans,142.0012,185.0019,,,
2016-08-08,Brinjal,80.007,74.0065,,,
2016-08-08,Cabbage,90.009,108.009,,,
2016-08-08,Carrot,120.0011,150.00125,,,
2016-08-08,Pumpkin,90.008,76.0085,,,
2016-08-08,Snake gourd,78.007,55.005,,,
2016-08-08,Tomato,74.0065,71.005,,,
2016-08-09,Beans,134.0012,190.00175,,,
2016-08-09,Brinjal,78.007,73.006,,,
2016-08-09,Cabbage,88.008,102.009,,,
2016-08-09,Carrot,118.001,144.00135,,,
2016-08-09,Pumpkin,88.008,79.0085,,,
2016-08-09,Snake gourd,74.007,54.005,,,
2016-08-09,Tomato,67.006,63.004,,,
2016-08-10,Beans,126.001,187.0019,,,
2016-08-10,Brinjal,76.007,70.0055,,,
2016-08-10,Cabbage,84.008,97.00105,,,
2016-08-10,Carrot,114.001,140.0015,,,
2016-08-10,Pumpkin,86.008,81.0075,,,
2016-08-10,Snake gourd,70.007,53.005,,,
2016-08-10,Tomato,59.005,56.004,,,
2016-08-11,Beans,118.0012,187.0019,,,
2016-08-11,Brinjal,74.007,67.0075,,,
2016-08-11,Cabbage,82.008,100.009,,,
2016-08-11,Carrot,110.001,140.009,,,
2016-08-11,Pumpkin,84.008,81.0075,,,
2016-08-11,Snake gourd,70.006,52.005,,,
2016-08-11,Tomato,55.005,51.0045,,,
2016-08-12,Beans,117.00125,187.00175,,,
2016-08-12,Brinjal,72.008,68.0065,,,
2016-08-12,Cabbage,82.0095,96.0011,,,
2016-08-12,Carrot,106.001,129.0011,,,
2016-08-12,Pumpkin,82.008,79.0065,,,
2016-08-12,Snake gourd,68.006,51.0045,,,
2016-08-12,Tomato,55.005,48.0045,,,
2016-08-15,Beans,117.001,184.00175,,,
2016-08-15,Brinjal,72.008,64.006,,,
2016-08-15,Cabbage,85.001,97.00125,,,
2016-08-15,Carrot,102.001,122.0013,,,
2016-08-15,Pumpkin,80.008,77.0065,,,
2016-08-15,Snake gourd,66.0055,49.0045,,,
2016-08-15,Tomato,55.0045,44.0055,,,
2016-08-16,Beans,113.0011,181.0018,,,
2016-08-16,Brinjal,74.008,63.0075,,,
2016-08-16,Cabbage,87.0085,104.0012,,,
2016-08-16,Carrot,100.0012,123.0013,,,
2016-08-16,Pumpkin,80.006,73.0065,,,
2016-08-16,Snake gourd,63.005,48.004,,,
2016-08-16,Tomato,51.005,45.0055,,,
2016-08-18,Beans,111.001,182.00165,,,
2016-08-18,Brinjal,76.008,66.0055,,,
2016-08-18,Cabbage,88.009,110.00125,,,
2016-08-18,Carrot,104.001,122.0013,,,
2016-08-18,Pumpkin,76.006,69.0065,,,
2016-08-18,Snake gourd,59.0055,46.004,,,
2016-08-18,Tomato,49.005,48.0055,,,
2016-08-19,Beans,111.001,177.00165,,,
2016-08-19,Brinjal,78.008,66.0065,,,
2016-08-19,Cabbage,90.009,114.00125,,,
2016-08-19,Carrot,104.001,118.0013,,,
2016-08-19,Pumpkin,72.006,67.0055,,,
2016-08-19,Snake gourd,56.005,44.004,,,
2016-08-19,Tomato,49.005,51.004,,,
