Date,Product,Pettah_Wholesale,Dambulla_Wholesale,Pettah_Retail,Dambulla_Retail,Narahenpita_Retail
2016-08-01,Beans,140.0,160.0,130.0,165.0,
2016-08-01,Brinjal,60.0,80.0,45.0,70.0,
2016-08-01,Cabbage,80.0,100.0,80.0,120.0,
2016-08-01,Carrot,100.0,120.0,120.0,155.0,
2016-08-01,Pumpkin,70.0,90.0,45.0,70.0,
2016-08-01,Snake gourd,70.0,90.0,30.0,55.0,
2016-08-01,Tomato,80.0,100.0,40.0,90.0,
2016-08-02,Beans,140.0,160.0,145.0,190.0,
2016-08-02,Brinjal,60.0,80.0,55.0,75.0,
2016-08-02,Cabbage,80.0,100.0,80.0,115.0,
2016-08-02,Carrot,100.0,120.0,110.0,155.0,
2016-08-02,Pumpkin,70.0,90.0,58.0,75.0,
2016-08-02,Snake gourd,70.0,90.0,28.0,55.0,
2016-08-02,Tomato,80.0,100.0,50.0,75.0,
2016-08-03,Beans,120.0,140.0,155.0,190.0,
2016-08-03,Brinjal,60.0,80.0,45.0,70.0,
2016-08-03,Cabbage,70.0,90.0,65.0,90.0,
2016-08-03,Carrot,100.0,120.0,100.0,150.0,
2016-08-03,Pumpkin,70.0,90.0,50.0,75.0,
2016-08-03,Snake gourd,50.0,70.0,25.0,55.0,
2016-08-03,Tomato,50.0,70.0,33.0,65.0,
2016-08-04,Beans,105.0,125.0,150.0,190.0,
2016-08-04,Brinjal,60.0,80.0,60.0,70.0,
2016-08-04,Cabbage,60.0,80.0,80.0,110.0,
2016-08-04,Carrot,100.0,120.0,90.0,145.0,
2016-08-04,Pumpkin,70.0,90.0,60.0,85.0,
2016-08-04,Snake gourd,50.0,70.0,25.0,55.0,
2016-08-04,Tomato,30.0,50.0,30.0,60.0,
2016-08-05,Beans,105.0,125.0,150.0,190.0,
2016-08-05,Brinjal,60.0,80.0,65.0,85.0,
2016-08-05,Cabbage,60.0,80.0,73.0,105.0,
2016-08-05,Carrot,100.0,120.0,95.0,145.0,
2016-08-05,Pumpkin,70.0,90.0,55.0,75.0,
2016-08-05,Snake gourd,50.0,70.0,25.0,55.0,
2016-08-05,Tomato,30.0,50.0,35.0,65.0,
2016-08-08,Beans,100.0,120.0,160.0,190.0,
2016-08-08,Brinjal,50.0,70.0,45.0,65.0,
2016-08-08,Cabbage,70.0,90.0,60.0,90.0,
2016-08-08,Carrot,90.0,110.0,85.0,125.0,
2016-08-08,Pumpkin,60.0,80.0,65.0,85.0,
2016-08-08,Snake gourd,50.0,70.0,25.0,50.0,
2016-08-08,Tomato,45.0,65.0,23.0,50.0,
2016-08-09,Beans,100.0,120.0,140.0,175.0,
2016-08-09,Brinjal,50.0,70.0,50.0,60.0,
2016-08-09,Cabbage,60.0,80.0,65.0,90.0,
2016-08-09,Carrot,80.0,100.0,90.0,135.0,
2016-08-09,Pumpkin,60.0,80.0,60.0,85.0,
2016-08-09,Snake gourd,50.0,70.0,25.0,50.0,
2016-08-09,Tomato,40.0,60.0,20.0,40.0,
2016-08-10,Beans,80.0,100.0,155.0,190.0,
2016-08-10,Brinjal,50.0,70.0,40.0,55.0,
2016-08-10,Cabbage,60.0,80.0,70.0,105.0,
2016-08-10,Carrot,80.0,100.0,110.0,150.0,
2016-08-10,Pumpkin,60.0,80.0,55.0,75.0,
2016-08-10,Snake gourd,50.0,70.0,25.0,50.0,
2016-08-10,Tomato,30.0,50.0,18.0,40.0,
2016-08-11,Beans,100.0,120.0,140.0,190.0,
2016-08-11,Brinjal,50.0,70.0,58.0,75.0,
2016-08-11,Cabbage,60.0,80.0,55.0,90.0,
2016-08-11,Carrot,80.0,100.0,60.0,90.0,
2016-08-11,Pumpkin,60.0,80.0,53.0,75.0,
2016-08-11,Snake gourd,40.0,60.0,25.0,50.0,
2016-08-11,Tomato,30.0,50.0,23.0,45.0,
2016-08-12,Beans,105.0,125.0,140.0,175.0,
2016-08-12,Brinjal,60.0,80.0,45.0,65.0,
2016-08-12,Cabbage,75.0,95.0,75.0,110.0,
2016-08-12,Carrot,80.0,100.0,78.0,110.0,
2016-08-12,Pumpkin,60.0,80.0,45.0,65.0,
2016-08-12,Snake gourd,40.0,60.0,20.0,45.0,
2016-08-12,Tomato,30.0,50.0,20.0,45.0,
2016-08-15,Beans,80.0,100.0,130.0,175.0,
2016-08-15,Brinjal,60.0,80.0,40.0,60.0,
2016-08-15,Cabbage,80.0,100.0,80.0,125.0,
2016-08-15,Carrot,80.0,100.0,90.0,130.0,
2016-08-15,Pumpkin,60.0,80.0,45.0,65.0,
2016-08-15,Snake gourd,35.0,55.0,20.0,45.0,
2016-08-15,Tomato,25.0,45.0,25.0,55.0,
2016-08-16,Beans,90.0,110.0,135.0,180.0,
2016-08-16,Brinjal,60.0,80.0,55.0,75.0,
2016-08-16,Cabbage,65.0,85.0,70.0,120.0,
2016-08-16,Carrot,100.0,120.0,85.0,130.0,
2016-08-16,Pumpkin,40.0,60.0,45.0,65.0,
2016-08-16,Snake gourd,30.0,50.0,18.0,40.0,
2016-08-16,Tomato,30.0,50.0,23.0,55.0,
2016-08-18,Beans,80.0,100.0,115.0,165.0,
2016-08-18,Brinjal,60.0,80.0,40.0,55.0,
2016-08-18,Cabbage,70.0,90.0,80.0,125.0,
2016-08-18,Carrot,80.0,100.0,88.0,130.0,
2016-08-18,Pumpkin,40.0,60.0,45.0,65.0,
2016-08-18,Snake gourd,35.0,55.0,15.0,40.0,
2016-08-18,Tomato,25.0,50.0,23.0,55.0,
2016-08-19,Beans,80.0,100.0,120.0,165.0,
2016-08-19,Brinjal,60.0,80.0,50.0,65.0,
2016-08-19,Cabbage,70.0,90.0,83.0,125.0,
2016-08-19,Carrot,80.0,100.0,88.0,130.0,
2016-08-19,Pumpkin,40.0,60.0,38.0,55.0,
