Date,Product,Unit,Pettah (Wholesale),Dambulla (Wholesale),Pettah (Retail),Dambulla (Retail),Narahenpita (Retail)
28 November 2025,Beans,Rs./kg,600.0,450.0,650.0,480.0,700.0
28 November 2025,Carrot,Rs./kg,280.0,230.0,330.0,260.0,280.0
28 November 2025,Cabbage,Rs./kg,140.0,115.0,180.0,145.0,240.0
28 November 2025,Tomato,Rs./kg,200.0,225.0,250.0,255.0,240.0
28 November 2025,Brinjal,Rs./kg,250.0,135.0,300.0,165.0,480.0
28 November 2025,Pumpkin,Rs./kg,60.0,65.0,100.0,95.0,120.0
28 November 2025,Snake gourd,Rs./kg,350.0,260.0,400.0,290.0,400.0
28 November 2025,Green Chilli,Rs./kg,500.0,425.0,550.0,455.0,500.0
28 November 2025,Lime,Rs./kg,800.0,450.0,1000.0,480.0,1200.0
28 November 2025,Red Onion (Local),Rs./kg,300.0,240.0,350.0,260.0,0.0
28 November 2025,Red Onion (lmp),Rs./kg,0.0,330.0,305.0,440.0,0.0
28 November 2025,Big Onion (Local),Rs./kg,148.0,145.0,180.0,165.0,0.0
28 November 2025,Big Onion (Imp),Rs./kg,0.0,180.0,143.0,180.0,0.0
28 November 2025,Potato (Local),Rs./kg,278.0,265.0,330.0,285.0,360.0
28 November 2025,Potato (Imp),Rs./kg,0.0,200.0,160.0,220.0,0.0
28 November 2025,Dried Chilli (Imp),Rs./kg,750.0,635.0,775.0,665.0,960.0
28 November 2025,Red Dhal,Rs./kg,240.0,270.0,260.0,0.0,0.0
28 November 2025,Sugar (White),Rs./kg,199.0,215.0,225.0,0.0,0.0
28 November 2025,Katta (Imp),Rs./kg,1600.0,1950.0,0.0,0.0,0.0
28 November 2025,Sprat (Imp),Rs./kg,1000.0,1100.0,1400.0,0.0,0.0
01 December 2025,Beans,Rs./kg,1200.0,545.0,1250.0,575.0,1600.0
01 December 2025,Carrot,Rs./kg,600.0,850.0,650.0,880.0,1200.0
01 December 2025,Cabbage,Rs./kg,300.0,140.0,350.0,170.0,600.0
01 December 2025,Tomato,Rs./kg,300.0,550.0,350.0,580.0,480.0
01 December 2025,Brinjal,Rs./kg,350.0,250.0,400.0,280.0,600.0
01 December 2025,Pumpkin,Rs./kg,100.0,105.0,150.0,135.0,240.0
01 December 2025,Snake gourd,Rs./kg,400.0,195.0,450.0,225.0,600.0
01 December 2025,Green Chilli,Rs./kg,900.0,425.0,1000.0,455.0,1800.0
01 December 2025,Lime,Rs./kg,800.0,525.0,1000.0,555.0,1600.0
01 December 2025,Red Onion (Local),Rs./kg,225.0,245.0,440.0,0.0,0.0
01 December 2025,Red Onion (lmp),Rs./kg,0.0,370.0,0.0,0.0,0.0
01 December 2025,Big Onion (Local),Rs./kg,180.0,195.0,180.0,215.0,0.0
01 December 2025,Big Onion (Imp),Rs./kg,0.0,140.0,180.0,160.0,220.0
01 December 2025,Potato (Local),Rs./kg,275.0,295.0,360.0,0.0,0.0
01 December 2025,Potato (Imp),Rs./kg,0.0,175.0,220.0,195.0,220.0
01 December 2025,Dried Chilli (Imp),Rs./kg,750.0,865.0,750.0,895.0,960.0
01 December 2025,Red Dhal,Rs./kg,250.0,270.0,260.0,0.0,0.0
01 December 2025,Sugar (White),Rs./kg,200.0,215.0,225.0,0.0,0.0
01 December 2025,Katta (Imp),Rs./kg,1600.0,1950.0,0.0,0.0,0.0
01 December 2025,Sprat (Imp),Rs./kg,1000.0,1100.0,1400.0,0.0,0.0
02 December 2025,Potato (Local),Rs./kg,0.0,295.0,0.0,0.0,0.0
03 December 2025,Potato (Local),Rs./kg,0.0,290.0,0.0,0.0,0.0
05 December 2025,Pumpkin,Rs./kg,0.0,200.0,0.0,0.0,0.0
10 December 2025,Big Onion (Local),Rs./kg,0.0,280.0,0.0,0.0,0.0
